|Fri Dec 26 19:38:11 +0000 2014|;|7|;|rt AT_USER estado islâmico transforma igrejas em centros de tortura vai dialogar dilma URL|
|Fri Dec 26 19:38:07 +0000 2014|;|0|;|eua e aliados atingem bases do estado islâmico com 31 ataques aéreos URL|
|Fri Dec 26 19:37:36 +0000 2014|;|14|;|rt AT_USER ataque contra o estado islâmico na síria matou 52 civis diz ong URL|
|Fri Dec 26 19:36:04 +0000 2014|;|0|;|ei reivindica ataque contra combatentes antijihadistas no iraque o grupo estado islâmico (ei) assumiu nesta  URL|
|Fri Dec 26 19:32:03 +0000 2014|;|0|;|brasileiro preso nega envolvimento com estado islâmico URL|
|Fri Dec 26 19:29:11 +0000 2014|;|0|;|estado islâmico vai executar a maior limpeza religiosa do mundo diz jornalista URL|
|Fri Dec 26 19:25:36 +0000 2014|;|0|;|não vejo a hora do estado islâmico tomar o controle do ocidente e estabelecer o califado a lei de allah é a unica verdade|
|Fri Dec 26 19:25:25 +0000 2014|;|0|;|após perder batalhas estado islâmico mata seus combatentes - terra brasil URL|
|Fri Dec 26 19:23:07 +0000 2014|;|0|;|coalizão internacional atinge bases do estado islâmico (isis) em 31 ataques URL|
|Fri Dec 26 19:05:39 +0000 2014|;|1|;|rt AT_USER eua e aliados atingem bases do estado islâmico com 31 ataques aéreos URL|
|Fri Dec 26 19:05:36 +0000 2014|;|0|;|governador nomeado por estado islâmico é morto em ataque aéreo no iraque URL|
|Fri Dec 26 18:59:32 +0000 2014|;|0|;|intrigante e muito discutível esta política de crescimento econômico capitalista norte americana URL|
|Fri Dec 26 18:58:36 +0000 2014|;|7|;|estado islâmico transforma igrejas em centros de tortura vai dialogar dilma URL|
|Fri Dec 26 18:55:12 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong URL|
|Fri Dec 26 18:51:27 +0000 2014|;|37|;|rt AT_USER eua e aliados atingem bases do estado islâmico com 31 ataques aéreos URL URL|
|Fri Dec 26 18:44:57 +0000 2014|;|7|;|rt AT_USER governador nomeado por estado islâmico é morto em ataque aéreo no iraque URL|
|Fri Dec 26 18:44:29 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong URL somostodosdilma raynniere buyraynniereonitunes|
|Fri Dec 26 18:41:00 +0000 2014|;|0|;|estado islâmico foi atingido pelos eua legal fudeu|
|Fri Dec 26 18:39:39 +0000 2014|;|0|;|vocês aí tuitando gracinhas e o estado islâmico só tramando|
|Fri Dec 26 18:37:09 +0000 2014|;|1|;|rt AT_USER ataque contra o estado islâmico na síria matou 52 civis diz ong ataque aconteceu na quinta-feira (25) no nor http…|
|Fri Dec 26 18:36:18 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong URL timbeta operacaobetalab sdv|
|Fri Dec 26 18:29:24 +0000 2014|;|0|;|operacaobetalab ataque contra o estado islâmico na síria matou 52 civis diz ong ataque aconteceu na quinta- URL|
|Fri Dec 26 18:29:24 +0000 2014|;|0|;|operacaobetalab ataque contra o estado islâmico na síria matou 52 civis diz ong URL|
|Fri Dec 26 18:29:23 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong ataque aconteceu na quinta-feira (25) no nor URL|
|Fri Dec 26 18:29:21 +0000 2014|;|0|;|betacaralhudosan ataque contra o estado islâmico na síria matou 52 civis diz ong ataque a URL betacaralhudosan|
|Fri Dec 26 18:29:20 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong ataque aconteceu na qui URL timbeta timbetalab|
|Fri Dec 26 18:28:27 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong|
|Fri Dec 26 18:28:24 +0000 2014|;|0|;|ataque contra o estado islâmico na síria matou 52 civis diz ong mundo|
|Fri Dec 26 18:24:48 +0000 2014|;|0|;|notícia fresquinha no g1 dá uma conferida  ataque contra o estado islâmico na síria matou 52 civis diz ong URL|
|Fri Dec 26 18:24:48 +0000 2014|;|1|;|rt AT_USER governador do estado islâmico em mosul morre em ataque - URL|
