|Thu May 28 13:17:32 +0000 2015|;|0|;|Tô com saudades da rapa :(((|;|na|;|na|
|Thu May 28 13:17:32 +0000 2015|;|0|;|AT_USER AT_USER pedras no rim :(|;|na|;|na|
|Thu May 28 13:17:30 +0000 2015|;|2|;|RT AT_USER amo o Paulo aqui sério :(|;|na|;|na|
|Thu May 28 13:17:29 +0000 2015|;|621|;|RT AT_USER desacostumado com o cabelo curto :( URL|;|na|;|na|
|Thu May 28 13:17:28 +0000 2015|;|0|;|AT_USER Faltou vontade e raça :(|;|na|;|na|
|Thu May 28 13:17:26 +0000 2015|;|0|;|AT_USER foi sem querer :(((((((((((|;|na|;|na|
|Thu May 28 13:17:22 +0000 2015|;|0|;|amor :(((((((((((((((((( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:17:20 +0000 2015|;|0|;|AMOR :( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:17:18 +0000 2015|;|1|;|RT AT_USER AT_USER sim  muita :(|;|na|;|na|
|Thu May 28 13:17:16 +0000 2015|;|0|;|amor :((((( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:17:16 +0000 2015|;|0|;|AMOR :-( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:17:14 +0000 2015|;|0|;|Amor :((( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:17:13 +0000 2015|;|1|;|RT AT_USER necessito de retweets :(|;|na|;|na|
|Thu May 28 13:17:13 +0000 2015|;|1|;|RT AT_USER e a angel ein será que ela ta bem :(((|;|na|;|na|
|Thu May 28 13:17:11 +0000 2015|;|0|;|Me acabando ouvindo KISS :(|;|na|;|na|
|Thu May 28 13:17:06 +0000 2015|;|0|;|amor :(((( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:17:05 +0000 2015|;|1|;|o tamanho :( quero guardar num potinho pra sempre #TeenChoice #ChoiceFemaleArtist Demi Lovato URL|;|na|;|na|
|Thu May 28 13:17:05 +0000 2015|;|0|;|Não temos como fazer mais :( URL|;|na|;|na|
|Thu May 28 13:17:04 +0000 2015|;|5|;|RT AT_USER Todo dia um novo 7 a 1 :( URL|;|na|;|na|
|Thu May 28 13:17:02 +0000 2015|;|0|;|AT_USER AT_USER é Que pena :-(|;|na|;|na|
|Thu May 28 13:17:00 +0000 2015|;|0|;|AMOOORRRR :( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:16:57 +0000 2015|;|2|;|RT AT_USER Queria ir no cinema :(|;|na|;|na|
|Thu May 28 13:16:56 +0000 2015|;|0|;|K-E-R-O DINHEIRO PRA COMPRAR MUITAS COISAS :(|;|na|;|na|
|Thu May 28 13:16:54 +0000 2015|;|0|;|Amor :( #PSYAngGabingHindiMalilimutan|;|na|;|na|
|Thu May 28 13:16:51 +0000 2015|;|10|;|RT AT_USER a voz do justin cantando ollg pra fã eu também quero :( #JustinForMMVA URL|;|na|;|na|
|Thu May 28 13:16:50 +0000 2015|;|0|;|Saudades afundar o martelo na Bruna Khalifa :(|;|na|;|na|
|Thu May 28 13:16:50 +0000 2015|;|0|;|eu caso com quem me der o livro de pintar lá :(|;|na|;|na|
|Thu May 28 13:16:49 +0000 2015|;|0|;|Photo: :-( URL|;|na|;|na|
|Thu May 28 13:16:48 +0000 2015|;|0|;|Como preciso de uma festadesde o são João do ano passado que não danço :((|;|na|;|na|
|Thu May 28 13:16:45 +0000 2015|;|0|;|Eu acho que comecei a ter renite :(|;|na|;|na|
|Thu May 28 13:16:42 +0000 2015|;|0|;|AT_USER :( saudades|;|na|;|na|
|Thu May 28 13:16:39 +0000 2015|;|0|;|AT_USER AT_USER :( nossa não faça mais isso|;|na|;|na|
